118178_17334444 IC110514A
118309_46569873 IC110610A
118342_24578488 IC110616A
118435_58198553 IC110714A
118475_52691508 IC110726A
118539_54350726 IC110807A
118576_45696357 IC110818A
118631_36844560 IC110902A
118660_61529737 IC110907A
118738_995844 IC110929A
118741_43101116 IC110930A
118778_61465314 IC111012A
118973_22324184 IC111120A
118973_25391094 IC111120B
119097_49522606 IC111208A
119101_32538906 IC111209A
119125_14422170 IC111213A
119136_66932419 IC111216A
119146_28561103 IC111218A
119739_41603205 IC120301A
120027_12133428 IC120426A
120045_22615214 IC120501A
120157_59255331 IC120515A
120185_63879322 IC120523A
120186_1306178 IC120523B
120205_73761892 IC120529A
120244_21476686 IC120601A
120260_65493286 IC120605A
120309_20451977 IC120611A
120535_24248640 IC120807A
120680_12284754 IC120916A
120708_53550535 IC120922A
120798_20915945 IC121011A
120860_64513030 IC121026A
120884_64276946 IC121103A
120935_29325450 IC121115A
121761_41853263 IC130125A
121762_56963417 IC130125B
121769_40349510 IC130127A
121840_62872761 IC130208A
122055_5809789 IC130316A
122060_56194427 IC130318A
122152_30701331 IC130408A
122154_6905361 IC130408B
122160_52726834 IC130409A
122316_49995489 IC130508A
122318_21601607 IC130509A
122361_46565711 IC130519A
122469_31925079 IC130531A
122604_17469985 IC130627A
122605_60656774 IC130627B
122663_58987459 IC130711A
122768_38570780 IC130731A
122772_38615684 IC130801A
122793_12516001 IC130804A
122818_16944987 IC130808A
122895_69011827 IC130822A
122973_6578595 IC130907A
123107_8144529 IC131014A
123145_34573112 IC131023A
123228_40504010 IC131108A
123240_49730417 IC131112A
123281_52248792 IC131124A
123334_75182550 IC131204A
123620_47444787 IC140101A
123662_27529428 IC140103A
123751_34239163 IC140108A
123762_72626160 IC140109A
123867_11659459 IC140114A
123986_63557286 IC140122A
123986_77999595 IC140122B
124136_15174527 IC140203A
124221_76481548 IC140213A
124296_49827757 IC140223A
124340_19400842 IC140307A
124463_35466777 IC140324A
124547_66087371 IC140410A
124569_22040903 IC140411A
124643_5182926 IC140420A
124693_33063779 IC140503A
124829_42577032 IC140603A
124852_74171655 IC140609A
124861_32863663 IC140611A
124994_15096469 IC140704A
125001_73159253 IC140705A
125011_43302321 IC140707A
